experiment_name,top1,top5,macro_f1,best_epoch,test_top1,test_top5,test_macro_f1
baseline,0.945946,0.998649,0.946166,34,0.923412,0.992641,0.922197
opt_combo,0.948649,0.998649,0.948882,39,0.921232,0.995912,0.920071
