,best_top1,best_top5,best_macro_f1,best_epoch,last_top1,last_macro_f1,epoch_to_abs90,epoch_to_rel90,mean_macro_f1,d_macro_f1
baseline,0.945946,1.000000,0.946166,34.000000,0.940541,0.940726,4.000000,3.000000,0.903177,
opt_combo,0.948649,0.998649,0.948882,39.000000,0.948649,0.948882,4.000000,3.000000,0.898579,0.002716
